names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id,birth_year
Taylor Swift,,Taylor Alison Swift,"[[West Reading, Pennsylvania]], U.S.",{{Birth date and age|1989|12|13}},female,American_female_country_singers,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989
Thomas Rhett,,Thomas Rhett Akins Jr.,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1990|03|30}},male,American_male_singers,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,1990
Bruno Mars,,Peter Gene Hernandez,"[[Honolulu|Honolulu, Hawaii]], U.S.",{{birth date and age|1985|10|08}},male,American_male_singer-songwriters,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,1985
Ed Sheeran,,Edward Christopher Sheeran,"[[Halifax, West Yorkshire]], England",{{Birth date and age|df|=|y|1991|2|17}},male,English_male_singers,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1991
Bill Conti,,William Conti,"[[Providence, Rhode Island]], U.S.",{{Birth date and age|1942|4|13}},,,Bill Conti,272ygo5fv9cYsiCLcV0HV2,1942
Neon Trees,"* [[Tyler Glenn]]
* Chris Allen
* Branden Campbell
* [[Elaine Bradley]]",,"[[Provo, Utah]], U.S.",,,,Neon Trees,0RpddSzUHfncUWNJXKOsjy,
Maroon 5,"* [[Adam Levine]]
* [[Jesse Carmichael]]
* [[James Valentine (musician)|James Valentine]]
* [[Matt Flynn (musician)|Matt Flynn]]
* [[PJ Morton]]
* [[Sam Farrar]]",,"[[Los Angeles]], [[California]], U.S.",,,,Maroon 5,04gDigrS5kc9YWfZHwBETP,
Sugarland,{{hlist|[[Kristian Bush]]|[[Jennifer Nettles]]}},,"[[Douglas, Georgia]], U.S.",,,,Sugarland,0hYxQe3AK5jBPCr5MumLHD,
Khalid,,,Arabic,,,,Khalid,6LuN9FCkKOj5PcnpouEgny,
Natasha Bedingfield,,Natasha Anne Bedingfield,"[[Haywards Heath]], [[West Sussex]], England",{{Birth date and age|1981|11|26|df|=|yes}},female,English_female_pop_singers,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,1981
R. Kelly,,Robert Sylvester Kelly,"[[Chicago, Illinois]], U.S.",{{birth date and age|1967|1|8}},male,African-American_male_singers,R. Kelly,2mxe0TnaNL039ysAj51xPQ,1967
Tom Petty,,Thomas Earl Petty,"[[Gainesville, Florida]], U.S.",{{birth date|mf|=|yes|1950|10|20}},male,American_male_guitarists,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,1950
Van Morrison,,George Ivan Morrison,"[[Bloomfield, Belfast]], Northern Ireland",{{Birth date and age|1945|8|31|df|=|yes}},,,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,1945
Portugal. The Man,"* [[John Gourley]]
* Zachary Carothers
* Kyle O'Quin
* Eric Howk
* Jason Sechrist
* Zoe Manville",,"[[Wasilla, Alaska]], U.S.",,,,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,
Justin Timberlake,,Justin Randall Timberlake,"[[Memphis, Tennessee]], U.S.",{{Birth date and age|1981|1|31}},male,American_male_pop_singers,Justin Timberlake,31TPClRtHm23RisEBtV3X7,1981
Katy Perry,,Katheryn Elizabeth Hudson,"[[Santa Barbara, California]], U.S.",{{Birth date and age|1984|10|25}},female,American_female_guitarists,Katy Perry,6jJ0s89eD6GaHleKKya26X,1984
Village People,{{ubl|[[Victor Willis]] |James Kwong|Jeffrey James Lippold|James Lee}},,"[[Greenwich Village]], New York City, U.S.",,,,Village People,0dCKce6tJJdHvlWnDMwzPW,
The Killers,"* [[Brandon Flowers]]
* [[Dave Keuning]]
* [[Mark Stoermer]]
* [[Ronnie Vannucci Jr.]]",,"[[Las Vegas]], [[Nevada]], U.S.",,,,The Killers,0C0XlULifJtAgn6ZNCW2eu,
DNCE,"*[[Joe Jonas]]
*[[Jack Lawless]]
*[[JinJoo Lee]]",,"[[Los Angeles]], [[California]], U.S.",,,,DNCE,6T5tfhQCknKG4UnH90qGnz,
Carly Rae Jepsen,,,"[[Mission, British Columbia]], Canada",{{birth date and age|mf|=|yes|1985|11|21}},female,Canadian_female_pop_singers,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1985
John Legend,,John Roger Stephens,"[[Springfield, Ohio]], U.S.",{{birth date and age|1978|12|28}},male,American_male_singer-songwriters,John Legend,5y2Xq6xcjJb2jVM54GHK3t,1978
Sam Smith,,Samuel Frederick Smith,"[[London]], England",{{birth date and age|df|=|yes|1992|5|19}},male,English_male_singers,Sam Smith,2wY79sveU1sp5g7SokKOiI,1992
Train,"* [[Pat Monahan]]
* Hector Maldonado
* Jerry Becker
* Nikita Houston
* Sakai Smith
* Matt Musty
* Taylor Locke",,"[[San Francisco]], [[California]], U.S.",,,,Train,3FUY2gzHeIiaesXtOAdB7A,
Justin Bieber,,Justin Drew Bieber,"[[London, Ontario]], Canada",{{Birth date and age|1994|3|1}},male,Canadian_male_singers,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1994
Demi Lovato,,Demetria Devonne Lovato,"[[Albuquerque, New Mexico]], U.S.",{{Birth date and age|1992|8|20}},female,American_female_pop_singers,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,1992
Kelly Clarkson,,Kelly Brianne Clarkson,"[[Fort Worth, Texas]], U.S.",{{Birth date and age|1982|4|24}},female,American_female_pop_singers,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,1982
Devin Dawson,,Devin Dawson Durrett,"[[Orangevale, California]], U.S.",{{birth date and age|1989|01|30}},,,Devin Dawson,2ySHS7UojGu20XfUPaBlyu,1989
Luke Bryan,,Thomas Luther Bryan,"[[Leesburg, Georgia]], U.S.",{{birth date and age|mf|=|yes|1976|7|17}},male,American_country_singers,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,1976
Blake Shelton,,Blake Tollison Shelton,"[[Ada, Oklahoma]], U.S.",{{Birth date and age|1976|6|18}},male,American_country_singers,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,1976
Walker Hayes,,Charles Edgar Walker Hayes,"[[Mobile, Alabama]], U.S.",{{birth date and age|1979|12|27}},male,American_country_singers,Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,1979
Brett Eldredge,,Brett Ryan Eldredge,"[[Paris, Illinois]], United States",{{birth date and age|1986|03|23}},male,American_country_singers,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,1986
Billy Currington,,William Matthew Currington,"[[Rincon, Georgia]], U.S.",{{birth date and age|1973|11|19}},male,American_country_singers,Billy Currington,1By9QBFnjZAoI83BZppHlt,1973
Granger Smith,,Granger Kelly Smith,"[[Dallas|Dallas, Texas]]",{{Birth date and age|1979|9|4}},male,American_country_singers,Granger Smith,4sTFGCigAQIUiEy8wSSQNF,1979
Brett Kissel,,,"[[Flat Lake, Alberta]], Canada",{{birth date and age|1990|5|27}},male,Canadian_male_singers,Brett Kissel,6VOaUBrKfzd49nIAzjVKmm,1990
Miley Cyrus,,Destiny Hope Cyrus,"[[Franklin, Tennessee]], U.S.",{{Birth date and age|1992|11|23}},female,American_female_pop_singers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,1992
Becky G,,"Re bb eca Marie Gomez {{r|latimes|""21under21""}}","[[Inglewood, California]], U.S.","{{birth date and age|1997|03|02}} {{r|""21under21""}}",female,American_female_pop_singers,Becky G,4obzFoKoKRHIphyHzJ35G3,1997
Iyaz,,Keidran Jones,"[[Tortola]], [[British Virgin Islands]]",{{birth date and age|df|=|yes|1987|04|15}},,,Iyaz,5tKXB9uuebKE34yowVaU3C,1987
Taio Cruz,,Adetayo Ayowale Onile-Ere,"[[London Borough of Brent|Brent]], [[Greater London]], England",{{birth date and age|1980|04|23|df|=|yes}},male,British_male_singers,Taio Cruz,6MF9fzBmfXghAz953czmBC,1980
Black Eyed Peas,"* [[will.i.am]]
* [[apl.de.ap]]
* [[Taboo (rapper)|Taboo]]
* J. Rey Soul",,"[[Los Angeles]], California, U.S.",,,,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,
Rupert Holmes,,David Goldstein,"[[Nanuet, New York]], U.S.",{{birth date and age|1947|2|24}},,,Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,1947
Colbie Caillat,,Colbie Marie Caillat,"[[Malibu, California]]",{{birth date and age|1985|5|28}},female,American_female_guitarists,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,1985
Neil Diamond,,Neil Leslie Diamond,"Brooklyn, New York City, U.S.",{{birth date and age|1941|1|24}},male,American_male_guitarists,Neil Diamond,7mEIug7XUlQHikrFxjTWes,1941
Vance Joy,,James Gabriel Keogh,"{{hlist|[[St Kevin's College, Melbourne|St Kevin's College]]|[[Monash University]]}}",{{Birth date and age|df|=|yes|1987|12|1}},male,Australian_male_singers,Vance Joy,10exVja0key0uqUkk6LJRT,1987
Smash Mouth,"* [[Paul De Lisle]]
* Michael Klooster
* [[Randy Cooke]]
* [[Sean Hurwitz]]
* Zach Goode",,"[[San Jose, California]], U.S.",,,,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,
Lynyrd Skynyrd,{{unbulleted list|[[Gary Rossington]]|[[Rickey Medlocke]]|[[Johnny Van Zant]]|[[Michael Cartellone]]|[[Mark Matejka]]|[[Peter Keys]]|Keith Christopher}},,"[[Jacksonville, Florida]], U.S.",,,,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,
Bon Jovi,"* [[Jon Bon Jovi]]
* [[David Bryan]]
* [[Tico Torres]]
* [[Phil X]]
* [[Hugh McDonald (American musician)|Hugh McDonald]]",,"[[Sayreville, New Jersey]], U.S.",,,,Bon Jovi,58lV9VcRSjABbAbfWS6skp,
Creedence Clearwater Revival,,,"[[El Cerrito, California]], U.S.",,,,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,
"Earth, Wind & Fire","* [[Philip Bailey]]
* [[Verdine White]]
* [[Ralph Johnson (musician)|Ralph Johnson]]
* B. David Whitworth
* Philip Bailey Jr.
* Myron McKinley
* [[John Paris]]
* Morris O'Connor
* Serg Dimitrijevic
* [[Earth, Wind & Fire Horns]]",,"[[Chicago|Chicago, Illinois]], U.S.",,,,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,
Vanilla Ice,,Robert Matthew Van Winkle,"Dallas, Texas, U.S.<br />[[Miami]], [[Florida]], U.S.",{{birth date and age|mf|=|yes|1967|10|31}},male,American_male_rappers,Vanilla Ice,7GXXMm3DB1VswVcuGyInUd,1967
Rascal Flatts,,,"[[Columbus, Ohio]], U.S.",,,,Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,
John Mellencamp,,John J. Mellencamp,"[[Seymour, Indiana]], U.S.",{{Birth date and age|mf|=|yes|1951|10|7}},male,American_male_singers,John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,1951
Phillip Phillips,,Phillip LaDon Phillips Jr.,"[[Leesburg, Georgia]], U.S.",{{birth date and age|1990|09|20}},male,American_male_guitarists,Phillip Phillips,6p5JxpTc7USNnBnLzctyd4,1990
Zac Brown Band,"* [[Zac Brown]]
* [[Coy Bowles]]
* [[Clay Cook]]
* [[Daniel de los Reyes]]
* Matt Mangano
* Jimmy De Martini
* [[Chris Fryar]]
* [[John Driskell Hopkins]]",,"[[Atlanta, Georgia]], U.S.",,,,Zac Brown Band,6yJCxee7QumYr820xdIsjo,
Darius Rucker,,Darius Carlos Rucker,"[[Charleston, South Carolina]], U.S.",{{birth date and age|1966|5|13}},male,American_country_singers,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,1966
Alabama,,,,,,,Alabama,6rJqqRce0Kvo2dJUXoHleC,
Alicia Keys,,Alicia Augello Cook,"[[New York City]], U.S.",{{Birth date and age|1981|1|25}},female,African-American_female_singer-songwriters,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,1981
James Arthur,,,"[[Middlesbrough]], [[North Yorkshire]], England",{{birth date and age|1988|3|2|df|=|yes}},male,English_male_singers,James Arthur,4IWBUUAFIplrNtaOHcJPRM,1988
Jason Mraz,,Jason Thomas Mraz,"[[Mechanicsville, Virginia]], U.S.",{{birth date and age|mf|=|yes|1977|6|23}},male,American_male_guitarists,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,1977
Chris Brown,,Christopher Maurice Brown,"[[Tappahannock, Virginia]], U.S.",{{birth date and age|1989|5|5}},male,African-American_male_rappers,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,1989
Kesha,,Kesha Rose Sebert,"[[Los Angeles|Los Angeles, California]], U.S.",{{Birth date and age|1987|3|1}},female,American_female_singer-songwriters,Kesha,6LqNN22kT3074XbTVUrhzX,1987
Flo Rida,,Tramar Lacel Dillard,"[[Miami Gardens, Florida]], U.S.",{{birth date and age|1979|9|16}},male,African-American_male_rappers,Flo Rida,0jnsk9HBra6NMjO2oANoPY,1979
Travis Tritt,,James Travis Tritt,"[[Marietta, Georgia]], U.S.",{{Birth date and age|1963|02|09}},male,American_country_singers,Travis Tritt,2M4Yt7oKGoYd0wqU44k4i2,1963
The Jackson 5,{{unbulleted list|[[Jackie Jackson]]|[[Tito Jackson]]|[[Jermaine Jackson]]|[[Marlon Jackson]]}},,"[[Gary, Indiana]], U.S.",,,,The Jackson 5,2iE18Oxc8YSumAU232n4rW,
Aloe Blacc,,Egbert Nathaniel Dawkins III,"[[Laguna Hills, California]], U.S.",{{Birth date and age|1979|1|7}},male,American_male_singers,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,1979
The Beach Boys,"* [[Brian Wilson]] 
* [[Mike Love]]
* [[Al Jardine]] 
* [[Bruce Johnston]]",,"[[Hawthorne, California]], U.S.",,,,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,
The Oak Ridge Boys,"*[[Joe Bonsall]]
*[[Duane Allen]]
*[[William Lee Golden]] 
*[[Richard Sterban]]",,"[[Oak Ridge, Tennessee]], U.S.",,,,The Oak Ridge Boys,3XnO697XIus1M0cMuxZjos,
Old Crow Medicine Show,Mike Harris <br /> Morgan Jahnig<br /> Jerry Pentecost<br /> Ketch Secor<br /> Mason Via<br /> Cory Younts,,"[[Harrisonburg, Virginia]]",,,,Old Crow Medicine Show,4DBi4EYXgiqbkxvWUXUzMi,
Tim McGraw,,Samuel Timothy McGraw,"[[Start, Louisiana]], U.S.",{{birth date and age|1967|5|1}},male,American_country_singers,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1967
Sean Kingston,,Kisean Paul Anderson,"[[Kingston, Jamaica]]",{{birth date and age|mf|=|yes|1990|2|3}},male,African-American_male_rappers,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,1990
The Police,,,"[[London]], England",,,,The Police,5NGO30tJxFlKixkPSgXcFE,
The Isley Brothers,"*[[Ronald Isley]]
*[[Ernie Isley]]",,"[[Lincoln Heights, Ohio|Lincoln Heights]], [[Ohio]], U.S.",,,,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,
The Band Perry,"* Kimberly Perry
* Neil Perry
* Reid Perry",,"[[Greeneville, Tennessee]], U.S.",,,,The Band Perry,75FnCoo4FBxH5K1Rrx0k5A,
John Mayer,,,"[[Bridgeport, Connecticut]], U.S. {{Infobox person 
| child |=| yes
| education |=| [[Fairfield Warde High School]]<br>}}",{{Birth date and age|1977|10|16}},male,American_male_guitarists,John Mayer,7EXJJpgDl7y4szvrpUYj0s,1977
Rusted Root,Michael Glabicki<br />Patrick Norman<br />Liz Berlin<br />Abbey Hoffman,,"[[Pittsburgh, Pennsylvania]], U.S.",,,,Rusted Root,2M3vnW1p5w4uPRkLYTbvdB,
The Wanted,"* [[Max George]]
* [[Siva Kaneswaran]]
* [[Jay McGuiness]]
* [[Nathan Sykes]]",,United Kingdom,,,,The Wanted,2NhdGz9EDv2FeUw6udu2g1,
Vanessa Carlton,,,"[[Milford, Pennsylvania]], U.S.",{{birth date and age|1980|08|16}},female,American_female_pop_singers,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,1980
Dobie Gray,,Lawrence Darrow Brown,"[[Simonton, Texas]], U.S.",{{birth date|1940|07|26}},male,African-American_male_singers,Dobie Gray,3mC1KCuZZSOlN8Z0M56VsV,1940
Bryan Adams,,Bryan Guy Adams,"[[Kingston, Ontario]], Canada",{{Birth date and age|1959|11|5}},male,Canadian_male_singers,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,1959
Rick Springfield,,Richard Lewis Springthorpe,"[[Guildford, New South Wales]], Australia",{{Birth date and age|1949|8|23|df|=|y}},male,Australian_male_singers,Rick Springfield,6IFXsrXBpwbIqtOUOiAa3p,1949
Judah & the Lion,"* Judah Akers
* Brian Macdonald",,"[[Nashville, Tennessee]], U.S.",,,,Judah & the Lion,3wWtfT7S2uVJJ3hGZlOLkZ,
Snow Patrol,"* [[Gary Lightbody]]
* [[Jonny Quinn]]
* [[Nathan Connolly]]
* [[Paul Wilson (musician)|Paul Wilson]]
* [[Johnny McDaid]]",,"{{Nowrap|[[Dundee, Scotland|Dundee]], Scotland}}",,,,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,
Gavin DeGraw,,Gavin Shane DeGraw,"[[South Fallsburg, New York]], U.S.",{{birth date and age|1977|02|04}},male,American_male_guitarists,Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz,1977
The Fray,"* [[Joe King (guitarist)|Joe King]]
* Dave Welsh
* Ben Wysocki",,"[[Denver, Colorado]], U.S.",,,,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,
Plain White T's,"* Tom Higgenson
* Tim Lopez
* Mike Retondo
* De'Mar Hamilton",,"[[Lombard, Illinois]], U.S.",,,,Plain White T's,1g1yxsNVPhMUl9GrMjEb2o,
Jive Bunny and the Mastermixers,,,"[[Rotherham]], [[South Yorkshire]], England",,,,Jive Bunny and the Mastermixers,4GzIiGnHYrOnq2LUiD6zdo,
OneRepublic,"* [[Ryan Tedder]]
* [[Zach Filkins]]
* [[Drew Brown (musician)|Drew Brown]]
* [[Brent Kutzle]]
* [[Eddie Fisher (drummer)|Eddie Fisher]]
* Brian Willett",,"[[Colorado Springs, Colorado]], U.S.",,,,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,
The Chainsmokers,"* Drew Taggart 
* Alex Pall",,"[[New York City]], U.S.",,,,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,
Ellie Goulding,,Elena Jane Goulding,"[[Hereford]], England",{{Birth date and age|df|=|yes|1986|12|30}},,,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,1986
One Direction,"* [[Harry Styles]]
* [[Niall Horan]]
* [[Liam Payne]]
* [[Louis Tomlinson]]",,"[[London]], England",,,,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,
Owl City,Adam Young,,"[[Owatonna, Minnesota]], U.S.",{{Birth date and age|1986|07|05}},,,Owl City,07QEuhtrNmmZ0zEcqE9SF6,1986
Soft Cell,[[Marc Almond]]<br />[[David Ball (electronic musician)|David Ball]],,"[[Leeds]], [[West Yorkshire]], England",,,,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,
Whitney Houston,,Whitney Elizabeth Houston,"[[Newark, New Jersey]], U.S.",{{Birth date|1963|8|9}},female,African-American_female_singers,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,1963
Cascada,"*[[Natalie Horler]]
*[[Manian|Manuel Reuter]]
*[[Yanou|Yann Peifer]]",,"[[Bonn]], Germany",,,,Cascada,0N0d3kjwdY2h7UVuTdJGfp,
Cyndi Lauper,,Cynthia Ann Stephanie Lauper,"[[New York City]], U.S.",{{Birth date and age|1953|6|22|mf|=|y}},female,American_female_country_singers,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,1953
Kid Rock,,Robert James Ritchie,"[[Romeo, Michigan]], U.S.",{{birth date and age|1971|1|17}},male,American_male_guitarists,Kid Rock,7dOBabd5O4CvKrg4iriHTM,1971
Sam Hunt,,Sam Lowry Hunt,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1984|12|8}},male,American_country_singers,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,1984
Tommy Tutone,[[Tommy Heath]]<br>[[Jimmy James (musician)|Jimmy James]]<br>Steve Fister<br>Andy Gauthier,,"[[California]], U.S.",,,,Tommy Tutone,1n2LWYgwtGp7EzDapUoniE,
Shawn Mendes,,Shawn Peter Raul Mendes,"[[Pickering, Ontario]], Canada",{{Birth date and age|1998|8|8}},male,Canadian_male_singers,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,1998
Bastille,,,,,,,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,
Avril Lavigne,,Avril Ramona Lavigne,"[[Belleville, Ontario]], Canada",{{nowrap|Birth date and age|mf|=|yes|1984|9|27}} {{Birth date and age|mf|=|yes|1984|9|27}},female,Canadian_female_singers,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,1984
Avril Lavigne,,Avril Ramona Lavigne,"[[Belleville, Ontario]], Canada",{{nowrap|Birth date and age|mf|=|yes|1984|9|27}} {{Birth date and age|mf|=|yes|1984|9|27}},female,Canadian_female_singers,Avril Lavigne,2rRI9HytTIdafKVgKB3Hxu,1984
Shania Twain,,Eilleen Regina Edwards,"[[Windsor, Ontario]], Canada",{{Birth date and age|mf|=|yes|1965|8|28}},female,Canadian_female_pop_singers,Shania Twain,5e4Dhzv426EvQe3aDb64jL,1965
Sara Bareilles,,Sara Beth Bareilles,"[[Eureka, California]], U.S.",{{Birth date and age|1979|12|07}},female,American_female_guitarists,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,1979
Carrie Underwood,,Carrie Marie Underwood,"[[Muskogee, Oklahoma]], U.S.",{{Birth date and age|1983|03|10}},female,American_female_country_singers,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,1983
Luke Combs,,Luke Albert Combs,"[[Charlotte, North Carolina]], U.S.",{{birth date and age|1990|3|2}},male,American_country_singers,Luke Combs,718COspgdWOnwOFpJHRZHS,1990
Dustin Lynch,,Dustin Charles Lynch,"[[Tullahoma, Tennessee]], U.S.",{{birth date and age|1985|05|14}},male,American_country_singers,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,1985
Jon Pardi,,Jonathan Ryan Pardi,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1985|05|20}},male,American_country_singers,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,1985
Kip Moore,,Kip Christian Moore,"[[Nashville, Tennessee]], United States",{{birth date and age|1980|04|02}},male,American_male_guitarists,Kip Moore,2hJPr4lk7Q8SSvCVBl9fWM,1980
Scotty McCreery,,Scott Cooke McCreery,"[[Garner, North Carolina]], U.S.",{{birth date and age|mf|=|yes|1993|10|9}},,,Scotty McCreery,6ZV6lGY0prbqpTD0Md8i29,1993
Russell Dickerson,,Russell Edward Dickerson,"[[Union City, Tennessee]]",{{birth date and age|1987|05|07}},male,American_country_singers,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,1987
Cole Swindell,,Colden Rainey Swindell,"[[Franklin, Tennessee]], U.S.",{{birth date and age|1983|6|30}},male,American_country_singers,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,1983
Jake Owen,,Joshua Ryan Owen,"[[Vero Beach, Florida]], U.S.","{{Birth date and age|mf|=|yes|1981|08|28}} [[Winter Haven, Florida]], U.S.",male,American_country_singers,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,1981
Florida Georgia Line,"* [[Tyler Hubbard]]
* [[Brian Kelley (musician)|Brian Kelley]]",,"[[Nashville, Tennessee]], U.S.",,,,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,
Dan + Shay,"* Dan Smyers
* Shay Mooney",,"[[Nashville, Tennessee]], U.S.",,,,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,
Dylan Scott,,Dylan Scott Robinson,"[[Bastrop, Louisiana]], U.S.",{{birth date and age|1990|10|22}},male,American_country_singers,Dylan Scott,78YqeIji3mgAS2K1Maca6x,1990
Josh Turner,,Joshua Otis Turner,"[[Nashville, Tennessee]]",{{birth date and age|1977|11|20}},male,American_country_singers,Josh Turner,7vCtweS8UVAXTyau2j0rDT,1977
Dierks Bentley,,Frederick Dierks Bentley,"[[Phoenix, Arizona]], U.S.",{{birth date and age|mf|=|yes|1975|11|20}},male,American_country_singers,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,1975
Chris Lane,,Christopher Eric Lane,"[[Kernersville, North Carolina]], US",{{birth date and age|1984|11|9}},male,American_country_singers,Chris Lane,6GDDxhe281I5aNSgCYphex,1984
Chris Lane,,Christopher Eric Lane,"[[Kernersville, North Carolina]], US",{{birth date and age|1984|11|9}},male,American_country_singers,Chris Lane,68abRTdO4meYReMWHvBYb0,1984
Kelsea Ballerini,,Kelsea Nicole Ballerini,"[[Knoxville, Tennessee]], U.S.",{{birth date and age|1993|9|12}},female,American_female_country_singers,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,1993
Brothers Osborne,{{hlist|John Osborne|T.J. Osborne}},,"[[Deale, Maryland]], U.S.",,,,Brothers Osborne,39NR3AUhpbbqKM33vWn2fp,
Keith Urban,,Keith Lionel Urbahn,"[[Whangarei, Northland]], New Zealand",{{birth date and age |df|=|yes|1967|10|26}},male,Male_guitarists,Keith Urban,0u2FHSq3ln94y5Q57xazwf,1967
Lady A,"* [[Hillary Scott]]
* [[Dave Haywood]]
* [[Charles Kelley]]",,"[[Nashville, Tennessee]], U.S.",,,,Lady A,32WkQRZEVKSzVAAYqukAEA,
Justin Moore,,Justin Cole Moore,"[[Poyen, Arkansas]], U.S.",{{birth date and age|1984|3|30}},male,American_country_singers,Justin Moore,30e8DmahrEamvLbFRPdWmk,1984
Eric Church,,Kenneth Eric Church,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1977|5|3}},male,American_country_singers,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,1977
Little Big Town,{{unbulleted list|Karen Fairchild|Kimberly Schlapman|Phillip Sweet|Jimi Westbrook}},,"[[Homewood, Alabama]], U.S.",,,,Little Big Town,3CygdxquGHurS7f9LjNLkv,
Chris Janson,,Christopher Pierre Janson,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1986|4|2}},male,American_country_singers,Chris Janson,60gmlHZmT16wiO9GiXKYK9,1986
Rachel Platten,,,"[[Newton Centre]], [[Massachusetts]], U.S.",{{birth date and age|1981|05|20}},female,American_female_singer-songwriters,Rachel Platten,3QLIkT4rD2FMusaqmkepbq,1981
Brad Paisley,,Bradly Douglas Paisley,"[[Glen Dale, West Virginia]], United States",{{birth date and age|1972|10|28}},male,American_country_singers,Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,1972
High Valley,Brad Rempel<br />Dave Myers<br />Sam Bergeson<br />Raymond Klassen<br />Clint Milburn<br />Andrew Hemmerling,,"[[La Crete]], [[Alberta]], Canada",,,,High Valley,5sQqZtsAbXAoAnvA8iN9kN,
Chris Stapleton,,Christopher Alvin Stapleton,"[[Nashville, Tennessee|Nashville]], [[Tennessee]], U.S.",{{Birth date and age|mf|=|yes|1978|4|15}},male,American_country_singers,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,1978
Randy Houser,,Shawn Randolph Houser,"[[Lake, Mississippi]], U.S.",{{birth date and age|1975|12|18}},male,American_country_singers,Randy Houser,56x8mYvS3cyDGAi8N2FxbB,1975
Astrid S,,Astrid Smeplass,"[[Berkåk]], Norway",{{Birth date and age|1996|10|29|df|=|y}},,,Astrid S,3AVfmawzu83sp94QW7CEGm,1996
Matt Terry,,Matthew James Terry,,{{Birth date and age|df|=|yes|1993|5|20}},male,English_male_singers,Matt Terry,2JLqTvFXmC87BksiCsBezV,1993
